realtime_start,value,date,realtime_end
2019-12-06,243012.0,1987-08-01,2019-12-06
2019-12-06,243223.0,1987-09-01,2019-12-06
2019-12-06,243446.0,1987-10-01,2019-12-06
2019-12-06,243639.0,1987-11-01,2019-12-06
2019-12-06,243809.0,1987-12-01,2019-12-06
2019-12-06,243981.0,1988-01-01,2019-12-06
2019-12-06,244131.0,1988-02-01,2019-12-06
2019-12-06,244279.0,1988-03-01,2019-12-06
2019-12-06,244445.0,1988-04-01,2019-12-06
2019-12-06,244610.0,1988-05-01,2019-12-06
2019-12-06,244806.0,1988-06-01,2019-12-06
2019-12-06,245021.0,1988-07-01,2019-12-06
2019-12-06,245240.0,1988-08-01,2019-12-06
2019-12-06,245464.0,1988-09-01,2019-12-06
2019-12-06,245693.0,1988-10-01,2019-12-06
2019-12-06,245884.0,1988-11-01,2019-12-06
2019-12-06,246056.0,1988-12-01,2019-12-06
2019-12-06,246224.0,1989-01-01,2019-12-06
2019-12-06,246378.0,1989-02-01,2019-12-06
2019-12-06,246530.0,1989-03-01,2019-12-06
2019-12-06,246721.0,1989-04-01,2019-12-06
2019-12-06,246906.0,1989-05-01,2019-12-06
2019-12-06,247114.0,1989-06-01,2019-12-06
2019-12-06,247342.0,1989-07-01,2019-12-06
2019-12-06,247573.0,1989-08-01,2019-12-06
2019-12-06,247816.0,1989-09-01,2019-12-06
2019-12-06,248067.0,1989-10-01,2019-12-06
2019-12-06,248281.0,1989-11-01,2019-12-06
2019-12-06,248479.0,1989-12-01,2019-12-06
2019-12-06,248659.0,1990-01-01,2019-12-06
2019-12-06,248827.0,1990-02-01,2019-12-06
2019-12-06,249012.0,1990-03-01,2019-12-06
2019-12-06,249306.0,1990-04-01,2019-12-06
2019-12-06,249565.0,1990-05-01,2019-12-06
2019-12-06,249849.0,1990-06-01,2019-12-06
2019-12-06,250132.0,1990-07-01,2019-12-06
2019-12-06,250439.0,1990-08-01,2019-12-06
2019-12-06,250751.0,1990-09-01,2019-12-06
2019-12-06,251057.0,1990-10-01,2019-12-06
2019-12-06,251346.0,1990-11-01,2019-12-06
2019-12-06,251626.0,1990-12-01,2019-12-06
2019-12-06,251889.0,1991-01-01,2019-12-06
2019-12-06,252135.0,1991-02-01,2019-12-06
2019-12-06,252372.0,1991-03-01,2019-12-06
2019-12-06,252643.0,1991-04-01,2019-12-06
2019-12-06,252913.0,1991-05-01,2019-12-06
2019-12-06,253207.0,1991-06-01,2019-12-06
2019-12-06,253493.0,1991-07-01,2019-12-06
2019-12-06,253807.0,1991-08-01,2019-12-06
2019-12-06,254126.0,1991-09-01,2019-12-06
2019-12-06,254435.0,1991-10-01,2019-12-06
2019-12-06,254718.0,1991-11-01,2019-12-06
2019-12-06,254964.0,1991-12-01,2019-12-06
2019-12-06,255214.0,1992-01-01,2019-12-06
2019-12-06,255448.0,1992-02-01,2019-12-06
2019-12-06,255703.0,1992-03-01,2019-12-06
2019-12-06,255992.0,1992-04-01,2019-12-06
2019-12-06,256285.0,1992-05-01,2019-12-06
2019-12-06,256589.0,1992-06-01,2019-12-06
2019-12-06,256894.0,1992-07-01,2019-12-06
2019-12-06,257232.0,1992-08-01,2019-12-06
2019-12-06,257548.0,1992-09-01,2019-12-06
2019-12-06,257861.0,1992-10-01,2019-12-06
2019-12-06,258147.0,1992-11-01,2019-12-06
2019-12-06,258413.0,1992-12-01,2019-12-06
2019-12-06,258679.0,1993-01-01,2019-12-06
2019-12-06,258919.0,1993-02-01,2019-12-06
2019-12-06,259152.0,1993-03-01,2019-12-06
2019-12-06,259414.0,1993-04-01,2019-12-06
2019-12-06,259680.0,1993-05-01,2019-12-06
2019-12-06,259963.0,1993-06-01,2019-12-06
2019-12-06,260255.0,1993-07-01,2019-12-06
2019-12-06,260566.0,1993-08-01,2019-12-06
2019-12-06,260867.0,1993-09-01,2019-12-06
2019-12-06,261163.0,1993-10-01,2019-12-06
2019-12-06,261425.0,1993-11-01,2019-12-06
2019-12-06,261674.0,1993-12-01,2019-12-06
2019-12-06,261919.0,1994-01-01,2019-12-06
2019-12-06,262123.0,1994-02-01,2019-12-06
2019-12-06,262352.0,1994-03-01,2019-12-06
2019-12-06,262631.0,1994-04-01,2019-12-06
2019-12-06,262877.0,1994-05-01,2019-12-06
2019-12-06,263152.0,1994-06-01,2019-12-06
2019-12-06,263436.0,1994-07-01,2019-12-06
2019-12-06,263724.0,1994-08-01,2019-12-06
2019-12-06,264017.0,1994-09-01,2019-12-06
2019-12-06,264301.0,1994-10-01,2019-12-06
2019-12-06,264559.0,1994-11-01,2019-12-06
2019-12-06,264804.0,1994-12-01,2019-12-06
2019-12-06,265044.0,1995-01-01,2019-12-06
2019-12-06,265270.0,1995-02-01,2019-12-06
2019-12-06,265495.0,1995-03-01,2019-12-06
2019-12-06,265755.0,1995-04-01,2019-12-06
2019-12-06,265998.0,1995-05-01,2019-12-06
2019-12-06,266270.0,1995-06-01,2019-12-06
2019-12-06,266557.0,1995-07-01,2019-12-06
2019-12-06,266843.0,1995-08-01,2019-12-06
2019-12-06,267152.0,1995-09-01,2019-12-06
2019-12-06,267456.0,1995-10-01,2019-12-06
2019-12-06,267715.0,1995-11-01,2019-12-06
2019-12-06,267943.0,1995-12-01,2019-12-06
2019-12-06,268151.0,1996-01-01,2019-12-06
2019-12-06,268364.0,1996-02-01,2019-12-06
2019-12-06,268595.0,1996-03-01,2019-12-06
2019-12-06,268853.0,1996-04-01,2019-12-06
2019-12-06,269108.0,1996-05-01,2019-12-06
2019-12-06,269386.0,1996-06-01,2019-12-06
